,eye_color,face_color
0/cs11757941476668326341.png,0.0,7.0
0/cs11617925622500852941.png,3.0,7.0
0/cs12547971852905536667.png,3.0,5.0
0/cs11805676893604293786.png,2.0,9.0
0/cs12078747900988887720.png,0.0,0.0
0/cs1198814921704712555.png,4.0,8.0
0/cs12158184260821336173.png,3.0,3.0
0/cs11750700759890434874.png,3.0,2.0
0/cs12951410612532714875.png,2.0,10.0
0/cs12574122125581534140.png,3.0,9.0
0/cs11978045391600249719.png,2.0,6.0
0/cs11952131725832742623.png,3.0,7.0
0/cs11948706757626904193.png,3.0,6.0
0/cs11740692371989600049.png,0.0,1.0
0/cs1176895987424660550.png,4.0,10.0
0/cs11973430687939822785.png,0.0,3.0
0/cs12222895507974813695.png,2.0,0.0
0/cs11528944864167601066.png,0.0,10.0
0/cs11967703569688594945.png,2.0,9.0
0/cs12582468325663231663.png,2.0,0.0
0/cs12254195685295101510.png,3.0,8.0
0/cs12247264386455479315.png,4.0,0.0
0/cs12898870071596830296.png,0.0,9.0
0/cs11968717145573544104.png,2.0,2.0
0/cs11981024814838887651.png,0.0,6.0
0/cs11965368798479856223.png,1.0,1.0
0/cs11858647070103181479.png,1.0,0.0
0/cs11647540495590383844.png,1.0,10.0
0/cs12911533545791586964.png,1.0,9.0
0/cs12821173587259251480.png,3.0,8.0
0/cs11864208328426035069.png,1.0,0.0
0/cs12268984758417207433.png,3.0,10.0
0/cs12144013400700784077.png,1.0,10.0
0/cs12574134748163883840.png,0.0,0.0
0/cs1182247177817055269.png,0.0,8.0
0/cs12696572745036111432.png,2.0,1.0
0/cs12510880345811342793.png,2.0,8.0
0/cs11706358202711545887.png,3.0,8.0
0/cs12808640254615733929.png,1.0,10.0
0/cs12872642307326932852.png,3.0,9.0
0/cs11729546089272071681.png,3.0,7.0
0/cs12293767673311275634.png,0.0,0.0
0/cs11624390145678065481.png,3.0,10.0
0/cs11903140718499118892.png,2.0,9.0
0/cs12263643700624577860.png,2.0,1.0
0/cs11809231150355639687.png,0.0,9.0
0/cs11547137089296098122.png,0.0,7.0
0/cs12121945699104890278.png,3.0,7.0
0/cs1228692470174786533.png,3.0,7.0
0/cs12442608536111473024.png,2.0,0.0
0/cs12031746172578750345.png,1.0,5.0
0/cs13003286368567893492.png,3.0,6.0
0/cs12399536238419053987.png,2.0,6.0
0/cs12625608347011765533.png,0.0,7.0
0/cs12498860112592798434.png,2.0,4.0
0/cs11515025118691507782.png,4.0,4.0
0/cs12512992334356168015.png,0.0,4.0
0/cs11803414460738976694.png,2.0,1.0
0/cs12043756810215738434.png,0.0,4.0
0/cs1238298384889010206.png,1.0,2.0
0/cs12020060380658126149.png,0.0,5.0
0/cs11553499578370861062.png,3.0,2.0
0/cs12102045871480857420.png,0.0,1.0
0/cs12690864628983253110.png,3.0,1.0
0/cs12857336669587641994.png,3.0,3.0
0/cs12844648546020214942.png,0.0,5.0
0/cs12486513324924854143.png,3.0,8.0
0/cs11556272443223371048.png,0.0,0.0
0/cs11913876020742130320.png,4.0,2.0
0/cs12025147558999005558.png,4.0,0.0
0/cs12664908016605190178.png,2.0,10.0
0/cs11885233450152683959.png,3.0,8.0
0/cs11890172334128548153.png,2.0,2.0
0/cs11744229692843609072.png,3.0,10.0
0/cs12329242963973915471.png,1.0,0.0
0/cs11933311892989566707.png,1.0,6.0
0/cs12089895315383926038.png,4.0,8.0
0/cs11577514264402455738.png,1.0,0.0
0/cs11910935573269281576.png,4.0,0.0
0/cs12486384742119023028.png,4.0,3.0
0/cs11634312787889634084.png,3.0,9.0
