,eye_color,face_color
cs10003933009404298309.png,1.0,9.0
cs10018691127690577262.png,0.0,4.0
cs10026598098664504561.png,4.0,10.0
cs10029978251627498456.png,4.0,9.0
cs10044973578839471257.png,2.0,3.0
cs10048523215390239490.png,1.0,8.0
cs10084864227771315123.png,2.0,8.0
cs10090594848663503435.png,1.0,8.0
cs10096569923328641816.png,2.0,8.0
cs10097409360448363042.png,3.0,5.0
cs10101832698160859606.png,3.0,5.0
cs10105543289137778001.png,2.0,7.0
cs1010616061906187033.png,4.0,8.0
cs10108010132771925137.png,2.0,1.0
cs10121395379396903151.png,0.0,6.0
cs10122944841907238435.png,0.0,10.0
cs10126745578518698715.png,2.0,6.0
cs10130052719533280089.png,1.0,1.0
cs1014177843909174286.png,4.0,3.0
cs10146803727390284740.png,3.0,3.0
cs1017297194721073217.png,2.0,0.0
cs10181815817608067713.png,4.0,10.0
cs10188315262199689553.png,2.0,0.0
cs10200467148140821903.png,2.0,7.0
cs10203539977229196247.png,1.0,3.0
cs10212713791219026017.png,3.0,2.0
cs10218032653000441047.png,3.0,8.0
cs10219380164460308202.png,0.0,1.0
cs10219875307489533751.png,3.0,1.0
cs10224643561273453354.png,2.0,0.0
cs10246649472505862426.png,2.0,1.0
cs10249810206673574318.png,1.0,1.0
cs10271683514479799033.png,3.0,8.0
cs10278110952998294938.png,0.0,7.0
cs10285837127350619381.png,1.0,10.0
cs10292609086311051352.png,2.0,5.0
cs10293714086852330067.png,3.0,2.0
cs1030110120450675267.png,4.0,1.0
cs10307582496524436946.png,2.0,10.0
cs10321762930849815914.png,0.0,10.0
cs10321800737649479180.png,1.0,0.0
cs1032273327123977743.png,0.0,4.0
cs10324259583504112863.png,0.0,6.0
cs10325095178629261544.png,3.0,10.0
cs10336293022742199638.png,3.0,9.0
cs10341533520982879306.png,2.0,6.0
cs10346340066603622458.png,4.0,3.0
cs10360123720271946057.png,1.0,10.0
cs10361258610889181061.png,4.0,2.0
cs10362318650199268017.png,0.0,10.0
cs1036443138168334910.png,1.0,6.0
cs10366186894611392115.png,3.0,7.0
cs10367922993160368977.png,0.0,1.0
cs10372370261309633783.png,1.0,7.0
cs10374957606020027055.png,2.0,0.0
cs10401147249507697104.png,4.0,6.0
cs10403202696810934341.png,4.0,6.0
cs10410693212238234738.png,4.0,0.0
cs10412294937479957813.png,1.0,10.0
cs10420639762954660636.png,1.0,10.0
cs10422035099305256134.png,4.0,5.0
cs10423611824830575497.png,4.0,9.0
cs10429440634717198168.png,3.0,10.0
cs10432975367183465024.png,3.0,1.0
cs10441632073882782663.png,0.0,10.0
cs10446558971577121958.png,1.0,8.0
cs10447446250055222194.png,0.0,4.0
cs10449871182710883107.png,0.0,7.0
cs1045360629399269969.png,4.0,0.0
cs10456749986537751444.png,3.0,2.0
cs10462948947579133892.png,4.0,6.0
cs10465977350692212552.png,1.0,5.0
cs10477024217805320979.png,0.0,7.0
cs10479616208032383506.png,1.0,6.0
cs10483571167497198066.png,1.0,6.0
cs10499447978989562833.png,1.0,8.0
cs10503059262472390226.png,2.0,0.0
cs10507648678708041692.png,2.0,2.0
cs10514048825927390622.png,2.0,0.0
cs10514484280870538480.png,0.0,3.0
cs10515488766957482142.png,4.0,9.0
cs10516866639422467287.png,2.0,7.0
cs10522521227802519010.png,3.0,8.0
cs10546676770387484249.png,0.0,9.0
cs10551709880686893597.png,2.0,1.0
cs10563174042563960477.png,1.0,2.0
cs10564577750957202166.png,4.0,4.0
cs10568595309101773212.png,0.0,2.0
cs10578214463680878348.png,3.0,9.0
cs10585358075238950894.png,4.0,2.0
cs10588966370862519044.png,2.0,2.0
cs10594598943283854439.png,2.0,10.0
cs1059549569977890953.png,4.0,8.0
cs1059687355209492149.png,2.0,8.0
cs10608065885967339378.png,2.0,8.0
cs10618516974938989467.png,2.0,2.0
cs10621785391748364082.png,0.0,1.0
cs10639813220152409625.png,3.0,1.0
cs10643558873444112204.png,4.0,9.0
cs10660154324844102348.png,1.0,0.0
cs10663539150895367506.png,2.0,9.0
cs10665393931138844105.png,1.0,6.0
cs10667411177221161190.png,2.0,4.0
cs10673336236300127664.png,0.0,0.0
cs10676504548826277555.png,1.0,8.0
cs10688443400127418068.png,1.0,1.0
cs10688845588749130324.png,2.0,2.0
cs10697576114729425343.png,2.0,1.0
cs10707429771344318319.png,4.0,8.0
